date,vv_mean,vh_mean,vv_vh_ratio_mean,orbit_pass,scene_count,latitude,longitude,buffer_m,vv_level,vh_level
2025-10-07,-9.06238347220478,-15.580716717246949,6.518333245042166,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-10-14,-10.690748665346646,-16.847619694335823,6.156871028989176,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-10-19,-8.779219794453597,-15.068040849571451,6.288821055117856,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-10-26,-10.170949378636704,-16.108219392135233,5.937270013498528,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-10-31,-9.441872496966225,-15.91385330580017,6.471980808833946,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-11-01,-10.582881230160975,-16.32638311754299,5.743501887382012,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-11-07,-10.019812352231977,-15.748884517031986,5.7290721648000105,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-11-12,-9.591477988713825,-15.895103302866646,6.303625314152821,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-11-19,-9.929558453463605,-15.918324966945718,5.988766513482114,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-11-24,-8.719737510333182,-15.24206227235135,6.522324762018167,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-12-01,-10.155535684752827,-15.988265900975016,5.83273021622219,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-12-06,-9.445895084393726,-16.286683899669494,6.8407888152757685,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-12-13,-10.898549296890437,-17.35183665624609,6.453287359355654,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-12-18,-10.1131746426817,-16.91649255238771,6.803317909706008,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-12-25,-11.399850732545495,-17.734338776753898,6.334488044208401,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2025-12-30,-10.496133747142888,-17.587391625536156,7.091257878393268,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Higher volume scattering (denser canopy or wet conditions)
2026-01-06,-11.848042576358312,-18.07686876290446,6.228826186546149,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-01-11,-10.815953275678924,-18.002605947505742,7.186652671826819,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-01-18,-12.22371289240131,-18.661098088602515,6.437385196201205,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-01-23,-11.134966511402194,-18.32651351262768,7.191547001225484,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-01-30,-12.139964125265868,-18.80129318646149,6.661329061195618,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-02-04,-11.6227347236509,-18.924156086146425,7.301421362495525,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-02-11,-12.665069496508236,-19.37209774776301,6.707028251254775,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-02-16,-11.78718053396733,-19.539749419144567,7.752568885177236,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-02-23,-12.385148876846443,-19.38654351234437,7.001394635497928,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-02-28,-11.667742694208334,-19.639660576921628,7.971917882713294,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-03-07,-12.909944748639733,-20.04633202831408,7.136387279674347,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-03-12,-11.71838015621457,-19.496570892081696,7.778190735867126,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-03-19,-11.538247735455425,-18.236252951858443,6.698005216403018,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-03-24,-12.050365092095085,-19.811795265054464,7.761430172959379,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-03-31,-13.099111086185149,-20.102973904462537,7.003862818277391,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-04-12,-13.529600300439018,-20.56576825625857,7.036167955819551,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-04-17,-11.967591955164648,-20.34683040171381,8.379238446549163,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-04-24,-13.326689493446317,-20.883258687419808,7.556569193973493,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-04-29,-11.94713225366389,-20.322580006562397,8.375447752898504,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-05-06,-12.548209127914424,-19.92211757203977,7.373908444125346,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-05-11,-11.136760332190102,-19.367613436809133,8.230853104619031,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-05-18,-11.535537394289534,-18.59667382549331,7.061136431203774,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-05-23,-11.35865026034408,-19.409923381589437,8.051273121245352,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-05-30,-12.608629467318607,-19.950373630734084,7.341744163415477,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-06-04,-11.5006542499054,-19.796802343913534,8.296148094008133,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-06-11,-13.198326877918769,-20.32509508295314,7.126768205034374,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-06-16,-11.42853322635872,-19.91516645615747,8.486633229798748,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-06-23,-12.720000095433251,-20.069080009302876,7.349079913869621,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-06-28,-11.73155408939444,-20.27324757609401,8.541693486699574,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-06-30,-13.515204670676656,-20.770666363215906,7.255461692539249,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-07-12,-13.632330021301623,-21.07050685765478,7.438176836353158,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-07-17,-12.129643012206987,-20.766948121169925,8.637305108962936,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-07-24,-13.57671528961281,-21.1200494559063,7.543334166293491,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-07-29,-11.521418800670322,-20.309565438512895,8.788146637842576,DESCENDING,1,13.294219,78.624294,500,High backscatter (rougher surface or wet soil),Moderate volume scattering
2026-08-05,-13.666661011532376,-20.938209602981395,7.2715485914490205,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-08-10,-12.26310978173698,-21.14367403262668,8.880564250889702,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
2026-08-17,-13.51487592930981,-20.974353658006905,7.459477728697095,DESCENDING,1,13.294219,78.624294,500,Moderate backscatter,Moderate volume scattering
